date,spx,gld,uso,slv,eur2usd
1/20/2009,805.22,84.52,28.66,11.09,1.29
1/21/2009,840.24,84.15,31.03,11.18,1.30
1/22/2009,827.50,84.58,30.02,11.33,1.30
1/23/2009,831.95,88.53,32.33,11.85,1.30
1/26/2009,836.57,88.95,32.14,11.90,1.32
1/27/2009,845.71,88.38,29.50,11.85,1.32
1/28/2009,874.09,87.42,29.75,11.86,1.32
1/29/2009,845.14,89.50,29.22,12.26,1.29
1/30/2009,825.88,91.31,29.22,12.52,1.28
2/2/2009,825.44,88.84,28.40,12.21,1.28
2/3/2009,838.51,88.47,28.87,12.32,1.30
2/4/2009,832.23,89.18,28.27,12.42,1.29
2/5/2009,845.85,90.12,28.81,12.75,1.28
2/6/2009,868.60,89.59,28.20,12.91,1.29
2/9/2009,869.89,88.32,28.25,12.72,1.30
2/10/2009,827.16,90.21,26.91,12.98,1.29
2/11/2009,833.74,92.29,26.08,13.34,1.29
2/12/2009,835.19,93.17,26.13,13.33,1.29
2/13/2009,826.84,92.55,25.60,13.54,1.29
2/17/2009,789.17,95.45,23.46,13.99,1.26
2/18/2009,788.42,96.91,22.86,14.17,1.26
2/19/2009,778.94,95.77,24.28,13.89,1.27
2/20/2009,770.05,97.80,24.35,14.25,1.29
2/23/2009,743.33,97.73,23.32,14.34,1.27
2/24/2009,773.14,94.73,24.44,13.61,1.29
2/25/2009,764.90,93.15,26.00,13.49,1.27
2/26/2009,752.83,93.06,27.23,12.97,1.27
2/27/2009,735.09,92.63,27.05,12.88,1.27
3/2/2009,700.82,90.93,24.48,12.77,1.26
3/3/2009,696.33,90.04,25.39,12.65,1.25
3/4/2009,712.87,88.99,27.61,12.78,1.26
3/5/2009,682.55,91.99,26.56,13.15,1.25
3/6/2009,683.38,92.29,27.99,13.18,1.26
3/9/2009,676.53,90.57,28.65,12.77,1.26
3/10/2009,719.60,88.14,27.83,12.45,1.27
3/11/2009,721.36,89.22,26.30,12.59,1.28
3/12/2009,750.74,91.10,28.23,12.79,1.29
3/13/2009,756.55,91.30,27.63,13.05,1.29
3/16/2009,753.89,90.80,28.25,12.79,1.30
3/17/2009,778.12,90.04,29.44,12.60,1.30
3/18/2009,794.35,93.09,29.61,12.77,1.35
3/19/2009,784.04,94.35,30.36,13.42,1.37
3/20/2009,768.54,93.59,30.76,13.61,1.36
3/23/2009,822.92,92.08,31.78,13.46,1.36
3/24/2009,806.12,90.95,31.61,13.25,1.35
3/25/2009,813.88,91.98,31.21,13.35,1.36
3/26/2009,832.86,91.93,32.02,13.35,1.35
3/27/2009,815.94,90.69,30.75,13.15,1.33
3/30/2009,787.53,89.98,28.70,12.85,1.32
3/31/2009,797.87,90.28,29.05,12.79,1.32
4/1/2009,811.08,91.03,28.58,12.84,1.35
4/2/2009,834.38,88.80,30.98,12.77,1.35
4/6/2009,835.48,85.27,30.23,11.94,1.33
4/7/2009,815.55,86.74,28.94,12.07,1.33
4/8/2009,825.16,86.61,29.49,12.14,1.32
4/9/2009,856.56,86.31,30.69,12.17,1.32
4/13/2009,858.73,87.88,29.68,12.57,1.33
4/14/2009,841.50,87.37,29.21,12.54,1.32
4/15/2009,852.06,87.50,29.31,12.55,1.32
4/16/2009,865.30,85.81,29.29,12.06,1.30
4/20/2009,832.39,86.95,27.22,11.89,1.29
4/21/2009,850.08,86.89,27.33,11.86,1.30
4/22/2009,843.55,87.38,27.34,12.13,1.31
4/23/2009,851.92,88.80,27.88,12.54,1.33
4/27/2009,857.51,89.01,28.08,12.66,1.31
4/28/2009,855.16,87.75,27.85,12.30,1.33
4/29/2009,873.64,88.33,28.56,12.55,1.32
4/30/2009,872.81,87.27,28.63,12.21,1.33
5/4/2009,907.24,88.64,30.56,12.83,1.33
5/5/2009,903.80,88.25,30.15,13.14,1.33
5/6/2009,919.53,89.54,31.43,13.52,1.34
5/7/2009,907.39,89.44,31.49,13.60,1.36
5/11/2009,909.24,89.69,32.29,13.74,1.36
5/12/2009,908.35,90.70,32.63,14.02,1.36
5/13/2009,883.92,91.09,32.19,13.81,1.36
5/14/2009,893.07,91.03,32.40,13.85,1.35
5/18/2009,909.71,90.36,32.71,13.58,1.36
5/19/2009,908.13,90.96,32.79,13.98,1.38
5/20/2009,903.47,92.25,33.87,14.10,1.39
5/21/2009,888.33,93.85,33.38,14.34,1.40
5/26/2009,910.33,93.76,34.11,14.42,1.38
5/27/2009,893.06,93.45,34.58,14.58,1.39
5/28/2009,906.83,94.24,35.34,14.93,1.42
6/1/2009,942.87,95.73,37.43,15.35,1.43
6/2/2009,944.74,96.36,37.61,15.75,1.41
6/3/2009,931.76,94.41,36.25,15.14,1.42
6/4/2009,942.46,96.23,37.69,15.63,1.40
6/8/2009,939.14,93.56,37.54,14.76,1.41
6/9/2009,942.43,93.83,38.19,15.03,1.40
6/10/2009,939.15,93.86,38.97,15.01,1.41
6/11/2009,944.89,93.70,39.68,15.13,1.40
6/15/2009,923.72,91.10,38.52,13.83,1.38
6/16/2009,911.97,91.93,38.51,13.99,1.39
6/17/2009,910.71,92.35,38.70,14.12,1.39
6/18/2009,918.37,91.61,38.85,13.97,1.39
6/22/2009,893.04,90.54,36.25,13.54,1.41
6/23/2009,895.10,90.92,37.41,13.62,1.39
6/24/2009,900.94,91.45,37.09,13.68,1.40
6/25/2009,920.26,92.31,38.05,13.81,1.41
6/29/2009,927.23,92.04,38.67,13.66,1.40
6/30/2009,919.32,91.18,37.93,13.38,1.41
7/1/2009,923.33,92.39,37.46,13.55,1.40
7/2/2009,896.42,91.25,36.05,13.16,1.40
7/6/2009,898.72,90.76,34.71,13.10,1.39
7/7/2009,881.03,90.71,33.81,12.89,1.39
7/8/2009,879.56,89.27,32.57,12.69,1.40
7/9/2009,882.68,89.51,32.77,12.67,1.39
7/13/2009,901.05,90.19,32.37,12.66,1.40
7/14/2009,905.84,90.81,32.11,12.72,1.41
7/15/2009,932.68,92.24,33.47,13.06,1.41
7/16/2009,940.74,91.98,33.56,13.09,1.41
7/20/2009,951.13,93.28,34.83,13.45,1.42
7/21/2009,954.58,93.13,34.94,13.33,1.42
7/22/2009,954.07,93.44,34.81,13.45,1.42
7/23/2009,976.29,93.26,35.79,13.52,1.42
7/27/2009,982.18,93.71,36.32,13.84,1.41
7/28/2009,979.62,92.11,35.76,13.52,1.40
7/29/2009,975.15,91.20,33.47,13.12,1.41
7/30/2009,986.75,91.62,35.49,13.25,1.43
8/3/2009,1002.63,93.87,37.92,14.03,1.44
8/4/2009,1005.65,94.68,37.97,14.35,1.44
8/5/2009,1002.72,94.78,38.20,14.52,1.44
8/6/2009,997.08,94.60,38.27,14.32,1.42
8/10/2009,1007.10,92.93,37.71,14.15,1.42
8/11/2009,994.35,92.79,36.86,14.09,1.42
8/12/2009,1005.81,92.95,37.35,14.34,1.43
8/13/2009,1012.73,93.72,37.80,14.79,1.42
8/17/2009,979.73,91.61,35.52,13.75,1.42
8/18/2009,989.67,92.06,36.86,13.72,1.43
8/19/2009,996.46,92.53,38.12,13.57,1.43
8/20/2009,1007.37,92.27,37.67,13.70,1.43
8/24/2009,1025.57,92.34,38.30,13.90,1.43
8/25/2009,1028.00,92.76,37.17,14.04,1.42
8/26/2009,1028.12,92.79,36.95,14.09,1.44
8/27/2009,1030.98,93.19,37.72,14.08,1.44
8/31/2009,1020.62,93.40,36.05,14.62,1.42
9/1/2009,998.04,93.90,35.27,14.76,1.43
9/2/2009,994.75,96.19,35.18,15.22,1.43
9/3/2009,1003.24,97.46,35.32,15.87,1.43
9/8/2009,1025.39,97.43,36.94,16.15,1.45
9/9/2009,1033.37,97.08,36.94,16.06,1.46
9/10/2009,1044.14,97.70,37.37,16.41,1.46
9/14/2009,1049.34,97.96,35.71,16.31,1.47
9/15/2009,1052.63,98.90,36.70,16.78,1.47
9/16/2009,1068.76,99.91,37.43,17.14,1.47
9/17/2009,1065.49,99.34,37.49,16.95,1.47
9/21/2009,1064.66,98.36,35.85,16.54,1.48
9/22/2009,1071.66,99.67,36.98,16.88,1.47
9/23/2009,1060.87,98.83,35.13,16.54,1.47
9/24/2009,1050.78,97.55,33.97,15.99,1.47
9/28/2009,1062.98,97.05,34.51,15.91,1.46
9/29/2009,1060.61,97.43,34.31,15.89,1.47
9/30/2009,1057.08,98.85,36.19,16.38,1.45
10/1/2009,1029.85,97.89,36.23,16.04,1.46
10/5/2009,1040.46,99.82,36.18,16.38,1.47
10/6/2009,1054.72,102.28,36.54,17.08,1.47
10/7/2009,1057.58,102.36,35.96,17.25,1.48
10/8/2009,1065.48,103.64,36.68,17.52,1.47
10/12/2009,1076.19,103.56,37.69,17.48,1.48
10/13/2009,1073.19,104.26,38.15,17.48,1.49
10/14/2009,1092.02,104.18,38.61,17.56,1.50
10/15/2009,1096.56,102.86,39.91,17.06,1.49
10/19/2009,1097.91,104.23,40.76,17.44,1.49
10/20/2009,1091.06,103.42,40.39,17.20,1.50
10/21/2009,1081.40,103.75,41.33,17.36,1.50
10/22/2009,1092.91,103.92,41.47,17.32,1.50
10/26/2009,1066.95,101.86,40.13,16.79,1.49
10/27/2009,1063.41,101.85,40.59,16.34,1.48
10/28/2009,1042.63,100.73,39.46,15.86,1.47
10/29/2009,1066.11,102.69,40.90,16.41,1.48
10/30/2009,1036.19,102.53,39.32,16.07,1.47
11/2/2009,1042.88,103.95,39.97,16.16,1.48
11/3/2009,1045.41,106.46,40.62,17.00,1.47
11/4/2009,1046.50,107.10,40.99,17.14,1.49
11/5/2009,1066.63,106.98,40.80,17.12,1.49
11/6/2009,1069.30,107.43,39.70,17.09,1.48
11/9/2009,1093.08,108.19,40.50,17.29,1.50
11/10/2009,1093.01,108.39,40.41,17.03,1.50
11/11/2009,1098.51,109.60,40.55,17.29,1.50
11/12/2009,1087.24,108.21,39.27,16.92,1.49
11/13/2009,1093.48,109.74,39.12,17.15,1.49
11/16/2009,1109.30,111.63,40.29,18.01,1.50
11/17/2009,1110.32,111.97,40.48,18.13,1.49
11/18/2009,1109.80,112.25,40.67,18.23,1.50
11/19/2009,1094.90,112.30,39.66,18.26,1.49
11/20/2009,1091.38,112.94,39.42,18.22,1.49
11/23/2009,1106.24,114.29,39.38,18.27,1.50
11/24/2009,1105.65,114.73,38.58,18.25,1.50
11/25/2009,1110.63,116.62,39.50,18.52,1.51
11/27/2009,1091.49,115.06,38.50,17.95,1.50
11/30/2009,1095.63,115.64,39.15,18.15,1.50
12/1/2009,1108.86,117.38,39.62,18.78,1.51
12/2/2009,1109.24,119.18,38.84,18.89,1.51
12/3/2009,1099.92,118.70,38.52,18.62,1.51
12/4/2009,1105.98,113.75,38.33,18.15,1.49
12/7/2009,1103.25,113.11,37.49,17.82,1.48
12/8/2009,1091.94,110.95,36.85,17.30,1.47
12/9/2009,1095.95,110.84,35.87,17.15,1.47
12/10/2009,1102.35,110.82,35.73,17.09,1.47
12/11/2009,1106.41,109.32,35.48,16.87,1.46
12/14/2009,1114.11,110.24,35.58,17.08,1.47
12/15/2009,1107.93,110.21,35.93,17.09,1.45
12/16/2009,1109.18,111.59,36.74,17.36,1.45
12/17/2009,1096.08,107.34,36.36,16.79,1.43
12/18/2009,1102.47,108.95,36.66,16.95,1.43
12/21/2009,1114.05,106.95,36.16,16.69,1.43
12/22/2009,1118.02,106.17,36.56,16.64,1.43
12/23/2009,1120.59,106.55,37.74,16.81,1.43
12/24/2009,1126.48,108.36,38.20,17.17,1.44
12/28/2009,1127.78,108.55,38.86,17.22,1.44
12/29/2009,1126.20,107.47,38.84,16.81,1.43
12/30/2009,1126.42,106.93,39.14,16.53,1.43
12/31/2009,1115.10,107.31,39.28,16.54,1.43
1/4/2010,1132.99,109.80,40.27,17.23,1.44
1/5/2010,1136.52,109.70,40.41,17.51,1.44
1/6/2010,1137.14,111.51,40.97,17.86,1.44
1/7/2010,1141.69,110.82,40.72,17.89,1.43
1/8/2010,1144.98,111.37,40.93,18.15,1.44
1/11/2010,1146.98,112.85,40.54,18.21,1.45
1/12/2010,1136.22,110.49,39.63,17.91,1.45
1/13/2010,1145.68,111.54,39.21,18.27,1.45
1/14/2010,1148.46,112.03,39.06,18.31,1.45
1/15/2010,1136.03,110.86,38.40,18.05,1.44
1/19/2010,1150.23,111.52,38.93,18.45,1.43
1/20/2010,1138.04,108.94,37.89,17.57,1.41
1/21/2010,1116.48,107.37,37.24,17.07,1.41
1/22/2010,1091.76,107.17,36.34,16.78,1.41
1/25/2010,1096.78,107.48,36.81,16.83,1.42
1/26/2010,1092.17,107.56,36.50,16.43,1.41
1/27/2010,1097.50,106.53,36.08,16.26,1.40
1/28/2010,1084.53,106.48,36.16,15.92,1.40
1/29/2010,1073.87,105.96,35.64,15.90,1.39
2/1/2010,1089.19,108.35,36.72,16.36,1.39
2/2/2010,1103.32,109.13,37.53,16.35,1.40
2/3/2010,1097.28,108.70,37.65,16.07,1.39
2/4/2010,1063.11,104.37,35.80,15.04,1.37
2/5/2010,1066.19,104.68,35.21,14.90,1.37
2/8/2010,1056.74,104.04,35.09,14.75,1.37
2/9/2010,1070.52,105.41,36.21,15.12,1.38
2/10/2010,1068.13,105.12,36.51,14.95,1.38
2/11/2010,1078.47,107.13,36.78,15.37,1.37
2/12/2010,1075.51,107.04,36.31,15.24,1.36
2/16/2010,1094.87,109.62,37.79,15.82,1.38
2/17/2010,1099.51,109.25,37.97,15.74,1.36
2/18/2010,1106.75,109.98,38.73,15.88,1.35
2/19/2010,1109.17,109.47,39.09,15.97,1.36
2/22/2010,1108.01,109.07,39.03,15.90,1.36
2/23/2010,1094.60,107.89,38.33,15.57,1.35
2/24/2010,1105.24,107.36,38.99,15.62,1.35
2/25/2010,1102.94,108.31,38.11,15.77,1.35
2/26/2010,1104.49,109.43,38.82,16.07,1.36
3/1/2010,1115.71,109.43,38.35,16.11,1.36
3/2/2010,1118.31,111.02,38.80,16.56,1.36
3/3/2010,1118.79,111.63,39.40,16.82,1.37
3/4/2010,1122.97,110.83,39.15,16.79,1.36
3/5/2010,1138.70,110.81,39.85,17.01,1.36
3/8/2010,1138.50,109.88,39.79,16.89,1.36
3/9/2010,1140.45,109.72,39.55,16.92,1.36
3/10/2010,1145.61,108.47,39.90,16.66,1.36
3/11/2010,1150.24,108.60,40.05,16.81,1.37
3/12/2010,1149.99,107.95,39.51,16.76,1.38
3/15/2010,1150.51,108.36,38.83,16.74,1.37
3/16/2010,1159.46,110.40,39.79,17.05,1.38
3/17/2010,1166.21,109.59,40.23,17.08,1.37
3/18/2010,1165.83,110.34,39.92,17.08,1.36
3/19/2010,1159.90,108.28,39.20,16.65,1.35
3/22/2010,1165.81,107.75,39.56,16.60,1.36
3/23/2010,1174.17,108.32,39.70,16.72,1.35
3/24/2010,1167.72,106.30,38.94,16.29,1.33
3/25/2010,1165.73,106.78,38.90,16.32,1.33
3/26/2010,1166.59,108.59,38.83,16.61,1.34
3/29/2010,1173.22,108.75,39.96,17.04,1.34
3/30/2010,1173.27,107.97,39.95,16.95,1.35
3/31/2010,1169.43,108.95,40.29,17.14,1.36
4/1/2010,1178.10,110.26,41.24,17.54,1.35
4/5/2010,1187.44,110.89,42.07,17.75,1.34
4/6/2010,1189.44,111.03,42.02,17.61,1.33
4/7/2010,1182.45,112.49,41.52,17.77,1.34
4/8/2010,1186.44,112.65,41.44,17.72,1.35
4/12/2010,1196.48,113.01,40.93,17.80,1.36
4/13/2010,1197.30,112.69,40.89,17.84,1.37
4/14/2010,1210.65,113.03,41.76,18.07,1.36
4/15/2010,1211.67,113.65,41.71,18.07,1.35
4/19/2010,1197.52,111.15,40.11,17.38,1.34
4/20/2010,1207.17,111.46,40.30,17.48,1.34
